procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31470692   5504 6110188    0    0     0    16 2496 2966  0  0 100  0  0 2025-08-25 13:15:00
 0  0      0 31470692   5504 6110188    0    0     0     0  939 1394  0  0 100  0  0 2025-08-25 13:15:01
 0  0      0 31470692   5504 6110060    0    0     0     0  902 1367  0  0 100  0  0 2025-08-25 13:15:02
 0  0      0 31470692   5504 6110060    0    0     0     0  854 1356  0  0 100  0  0 2025-08-25 13:15:03
 0  0      0 31470692   5504 6110060    0    0     0    44  839 1386  0  0 100  0  0 2025-08-25 13:15:04
 1  0      0 31470692   5504 6110060    0    0     0    12  821 1359  0  0 100  0  0 2025-08-25 13:15:05
 0  0      0 31470692   5504 6110060    0    0     0     8  884 1387  0  0 100  0  0 2025-08-25 13:15:06
 0  0      0 31470692   5504 6110064    0    0     0     0  846 1392  0  0 100  0  0 2025-08-25 13:15:07
 0  0      0 31470692   5504 6110064    0    0     0     0  887 1396  0  0 100  0  0 2025-08-25 13:15:08
 0  0      0 31470692   5504 6110064    0    0     0    44  959 1410  0  0 100  0  0 2025-08-25 13:15:09
 0  0      0 31470692   5504 6110064    0    0     0     0  842 1451  0  0 100  0  0 2025-08-25 13:15:10
 0  0      0 31470692   5504 6110064    0    0     0    15  943 1430  0  0 100  0  0 2025-08-25 13:15:11
 0  0      0 31470692   5504 6110064    0    0     0     0  883 1404  0  0 100  0  0 2025-08-25 13:15:12
 0  0      0 31470692   5504 6110064    0    0     0     0 1031 1397  0  0 100  0  0 2025-08-25 13:15:13
 0  0      0 31470692   5504 6110064    0    0     0    44  828 1352  0  0 100  0  0 2025-08-25 13:15:14
 0  0      0 31470692   5504 6110064    0    0     0     0  881 1354  0  0 100  0  0 2025-08-25 13:15:15
 0  0      0 31470692   5504 6110064    0    0     0     0  883 1406  0  0 100  0  0 2025-08-25 13:15:16
 0  0      0 31471552   5504 6110064    0    0     0     4 1014 1432  0  0 100  0  0 2025-08-25 13:15:17
 0  0      0 31471552   5504 6110064    0    0     0     0  925 1369  0  0 100  0  0 2025-08-25 13:15:18
 0  0      0 31471604   5504 6110064    0    0     0    56  861 1364  0  0 100  0  0 2025-08-25 13:15:19
